,dataSet,ins,totalTime_IP,totalTime_LP,totalTime_SVI
0,N30_d10_,1,1.0,1.0,1.0
1,N30_d10_,2,1.0,1.0,1.0
2,N30_d10_,3,1.0,1.0,1.0
3,N30_d10_,4,402.94909286499023,383.742564201355,274.03132104873663
4,N30_d10_,5,80.06253004074097,69.0100781917572,1.0
5,N30_d10_,6,62.25744605064392,1.0,1.0
6,N30_d10_,7,1254.1140780448916,1164.1800489425661,896.8708100318909
7,N30_d10_,8,79.47658705711366,64.82451701164247,61.199981927871704
8,N30_d10_,9,134.66808009147644,125.4569799900055,105.47834396362305
9,N30_d10_,10,67.58943796157837,65.65736699104309,1.0
10,N30_d10_,11,1.0,1.0,1.0
11,N30_d10_,12,1125.7664189338684,855.4438939094542,285.20629215240484
12,N30_d10_,13,1428.2575678825378,1413.7302010059354,1348.0948660373688
13,N30_d10_,14,1.0,1.0,1.0
14,N30_d10_,15,1.0,1.0,1.0
15,N30_d10_,16,4893.119658946991,3055.7013459205627,864.7565319538116
16,N30_d10_,17,1775.8566479682922,1846.9973199367525,2263.0526390075684
17,N30_d10_,18,584.0309190750123,525.4840919971466,3032.218278169632
18,N30_d10_,19,1.0,1.0,1.0
19,N30_d10_,20,1.0,1.0,1.0
20,N30_d10_,21,1.0,1.0,1.0
21,N30_d10_,22,1.0,1.0,1.0
22,N30_d10_,23,137.14306998252871,127.11778616905212,97.80514192581177
23,N30_d10_,24,62.38264608383179,1.0,1.0
24,N30_d10_,25,438.0001389980316,441.42609596252436,316.71754002571106
25,N30_d10_,26,1758.9457559585571,1422.2153689861298,904.892420053482
26,N30_d10_,27,627.6053328514099,481.5531570911408,326.0191400051117
27,N30_d10_,28,1.0,1.0,1.0
28,N30_d10_,29,1.0,1.0,1.0
29,N30_d10_,30,89.10999798774719,83.88236713409424,61.23341202735901
30,N30_d10_,31,67.17637109756471,63.96461796760559,1.0
31,N30_d10_,32,1.0,1.0,1.0
32,N30_d10_,33,82.58210992813109,82.61224293708801,68.767826795578
33,N30_d10_,34,67.79152202606201,61.62806487083435,1.0
34,N30_d10_,35,278.0622260570526,243.8292810916901,209.53387904167172
35,N30_d10_,36,877.7181060314177,874.8408749103546,798.2215929031372
36,N30_d10_,37,1.0,1.0,1.0
37,N30_d10_,38,501.9017059803009,515.6172969341278,417.71100807189936
38,N30_d10_,39,1.0,1.0,1.0
39,N30_d10_,40,128.41458702087402,126.40749311447144,77.40811705589293
40,N30_d10_,41,1.0,1.0,1.0
41,N30_d10_,42,96.99723291397095,94.89310598373413,76.9746539592743
42,N30_d10_,43,74.90206909179688,60.91157603263855,1.0
43,N30_d10_,44,68.94556021690369,65.67256498336792,62.69111800193786
44,N30_d10_,45,1.0,1.0,1.0
45,N30_d10_,46,104.7338569164276,95.08015489578248,70.6949031352997
46,N30_d10_,47,11121.404510974882,8417.568304061891,6436.934077024461
47,N30_d10_,48,1.0,1.0,1.0
48,N30_d10_,49,60.95178604125977,1.0,1.0
49,N30_d10_,50,84.27909207344054,81.70599794387817,75.81592512130737
50,N30_d10_,51,189.0219829082489,173.76262497901917,125.23846697807312
51,N30_d10_,52,4264.827064037323,4536.405413866043,3567.234852075577
52,N30_d10_,53,3010.0482790470123,2414.4321200847626,1930.0098190307615
53,N30_d10_,54,102.62718200683594,98.68648505210876,70.6638720035553
54,N30_d10_,55,121.11132097244264,91.4055290222168,65.1892991065979
55,N30_d10_,56,1.0,1.0,1.0
56,N30_d10_,57,2909.438494205475,2539.68382191658,1290.9933559894562
57,N30_d10_,58,121.03264689445496,134.68657302856442,115.02492785453795
58,N30_d10_,59,1043.452378988266,923.525801897049,738.7339169979095
59,N30_d10_,60,64.88532495498657,61.2049720287323,1.0
60,N30_d10_,61,103.04763507843019,101.93866109848022,76.57579493522644
61,N30_d10_,62,1353.8473172187805,2295.624471187592,1870.7239301204681
62,N30_d10_,63,645.102254152298,462.1142899990082,342.42055201530457
63,N30_d10_,64,1.0,1.0,1.0
64,N30_d10_,65,207.51632285118103,204.3477017879486,169.89018201828003
65,N30_d10_,66,67.12938690185547,67.39090704917908,1.0
66,N30_d10_,68,1.0,1.0,1.0
67,N30_d10_,69,118.52587985992432,118.33719801902771,91.63081908226013
68,N30_d10_,70,1.0,1.0,1.0
69,N30_d10_,71,1.0,1.0,1.0
70,N30_d10_,72,9743.216341972353,8515.952307224274,6882.019879102708
71,N30_d10_,73,1.0,1.0,1.0
72,N30_d10_,74,327.884712934494,323.1069631576538,277.99668407440186
73,N30_d10_,75,4127.9550569057465,1548.6590249538422,493.0789351463318
74,N30_d10_,76,1.0,1.0,1.0
75,N30_d10_,77,117.28632307052612,110.2899239063263,95.54525518417358
76,N30_d10_,78,74.12352108955382,1.0,1.0
77,N30_d10_,79,98.41407203674316,71.6662621498108,64.29681801795961
78,N30_d10_,80,1.0,1.0,1.0
79,N30_d10_,81,1.0,1.0,1.0
80,N30_d10_,82,1.0,1.0,1.0
81,N30_d10_,83,265.1223998069763,259.0611581802368,174.26868891716003
82,N30_d10_,84,61.101269960403435,1.0,1.0
83,N30_d10_,85,26536.49870300293,27033.83795905113,14118.974750995638
84,N30_d10_,87,80.58116316795348,78.15454602241515,1.0
85,N30_d10_,88,72.92267513275145,86.43313002586365,1.0
86,N30_d10_,89,1.0,1.0,1.0
87,N30_d10_,90,1.0,1.0,1.0
88,N30_d10_,91,79.47193694114684,77.47276616096497,74.08602905273438
89,N30_d10_,92,1.0,1.0,1.0
90,N30_d10_,93,3465.087646007538,2547.9854199886317,1711.076866865158
91,N30_d10_,94,86.18119788169861,78.26181912422179,1.0
92,N30_d10_,95,200.05329394340515,166.3545119762421,117.98639011383057
93,N30_d10_,96,61.12960410118103,1.0,1.0
94,N30_d10_,97,1.0,1.0,1.0
95,N30_d10_,98,110.78490114212036,112.08257913589478,89.87698006629944
96,N30_d10_,99,169.15419101715088,147.8848328590393,81.34670519828795
97,N30_d10_,100,543.1665971279143,464.40817308425903,414.7112820148468
98,N40_d10_,14,9537.582003116608,8164.504012107849,2747.181705951691
99,N40_d10_,19,75061.39288496971,,48156.95631313324
100,N40_d10_,21,2075.6835570335393,2065.1326670646667,1621.927710056305
101,N40_d10_,23,276.1048710346222,243.64169001579285,114.73555684089659
102,N40_d10_,28,1.0,1.0,1.0
103,N40_d10_,36,5236.7950060367575,4754.2401480674735,4557.173079967499
104,N40_d10_,38,34987.166085004814,25427.219560861588,18448.58276295662
105,N40_d10_,48,1718.796331167221,1535.279865026474,781.9089450836183
106,N40_d10_,64,16169.55179786682,15304.877161026001,15014.2357840538
107,N40_d10_,68,68.02147722244264,61.36895298957825,1.0
108,N40_d10_,72,10059.856563806534,9930.313282966614,5806.998330116272
109,N40_d10_,79,613.3066108226776,607.6969389915466,306.57778215408325
110,N40_d10_,80,1377.640459060669,1385.817207813263,934.1390640735626
111,N40_d10_,87,329.11781811714167,269.84319305419916,149.27941799163818
112,N40_d10_,89,1.0,1.0,1.0
113,N40_d10_,90,22517.200201988217,20609.61271905899,7250.175005912781
114,N40_d10_,92,61.74373817443848,60.182319164276116,1.0
115,N40_d10_,99,1.0,1.0,1.0
116,N50_d10_,69,108.40474700927734,105.99687099456787,72.88398098945619
117,N50_d10_,91,102.06972408294678,,64.52231407165527
118,N60_d10_,13,73844.10400009155,,8785.521312952042
119,N60_d10_,16,3712.242431879044,,2237.590608835221
120,N60_d10_,48,412.0482699871063,,182.0883378982544
